index,HIP,common name,spectral type,measured distance_ly,source
72,2081,Ankaa,Spectroscopic Binary K0.5IIIb,84.7,https://www.universeguide.com/star/2081/ankaa
73,95771,Anser,Variable Star M0 comp,291,https://www.universeguide.com/star/95771/lucidaanseris
74,80763,Antares,Main Sequence M1Ib + B2.5V,605,https://www.universeguide.com/star/80763/antares
75,72845,Arcalis,K0,432,https://www.universeguide.com/star/72845/arcalis
76,69673,Arcturus,Red Giant Branch Star K2III,36,https://www.universeguide.com/star/69673/arcturus
77,95294,Arkab Posterior,Giant Star F2III,139.5,https://www.universeguide.com/star/95294/arkabposterior
78,95241,Arkab Prior,B9V,378,https://pt.wikipedia.org/wiki/Beta1_Sagittarii
79,25985,Arneb,Supergiant Star F0Ib,2200,https://www.universeguide.com/star/25985/arneb
80,93506,Ascella,Subgiant Star A3IV,89,https://www.universeguide.com/star/93506/ascella
81,42911,Asellus Australis,Giant Star K0III,136,https://www.universeguide.com/star/42911/asellusaustralis
82,42806,Asellus Borealis,Subgiant Star A1IV,158,https://www.universeguide.com/star/42806/asellusborealis
83,43109,Ashlesha,Subgiant Star G0III-IV,135,https://www.universeguide.com/star/43109/ashlesha
84,45556,Aspidiske,Supergiant Star A8 Ib,690,https://www.universeguide.com/star/45556/aspidiske
85,17579,Asterope,Main Sequence B8 V,431,https://www.universeguide.com/star/17579/asteropei
87,80331,Athebyne,Giant Star G8 III,92.1,https://www.universeguide.com/star/80331/aldhibain
88,17448,Atik,Giant Star B1III,1475,https://www.universeguide.com/star/17448/atik
89,17847,Atlas,Spectroscopic Binary B8III,431,https://www.universeguide.com/star/17847/atlas
90,82273,Atria,Giant Star K2 IIb-IIIa,391,https://www.universeguide.com/star/82273/atria
91,41037,Avior,Main Sequence K3III+B2V,632,https://www.universeguide.com/star/41037/avior
92,118319,Axolotl,Main Sequence G2V,306,https://www.universeguide.com/star/118319/hd224693
93,13993,Ayeyarwady,Subgiant Star G8 / K0IV,163,https://www.universeguide.com/star/13993/hd18742
94,107136,Azelfafage,Subgiant Star B3IV,1680,https://www.universeguide.com/star/107136/azelfafage
95,13701,Azha,Giant Star K1III-IV,133,https://www.universeguide.com/star/13701/azha
96,38170,Azmidi,Supergiant Star G6 Iab-Ib,1200,https://www.universeguide.com/star/38170/azmidiske
97,73136,Baekdu,K0,159,https://www.universeguide.com/star/73136/8ursaeminoris
98,87937,Barnard's Star,Subdwarf Star M4.0V,5.96,https://www.universeguide.com/star/87937/barnardsstar
99,8645,Baten Kaitos,Spectroscopic Binary K0 III Ba0.1,235,https://www.universeguide.com/star/8645/batenkaitos
100,20535,Beemim,Giant Star K4 III,296,https://www.universeguide.com/star/20535/upsilon3eridani
101,19587,Beid,Subgiant Star F2II-III,125,https://www.universeguide.com/star/19587/bei
102,95124,Belel,K0III,376.63,https://www.universeguide.com/star/95124/hd181342
103,6643,Belenos,F,146,https://wiki.ed-board.net/pl/object/hip-6643
104,25336,Bellatrix,B2III,250,https://pt.wikipedia.org/wiki/Bellatrix
106,27989,Betelgeuse,M1-M2Ia-Iab,720,https://pt.wikipedia.org/wiki/Betelgeuse
107,13209,BharaniB,8Vn,159,https://pt.wikipedia.org/wiki/41_Arietis
108,48711,Bibha,G1V,297.3,https://www.universeguide.com/star/48711/bibha 
109,109427,Biham,A1Va,92,https://pt.wikipedia.org/wiki/Theta_Pegasi
110,107251,Bosona,K0III,554.7,https://www.universeguide.com/star/107251/bosona
111,14838,Botein,K2III,170,https://pt.wikipedia.org/wiki/Delta_Arietis
112,73714,Brachium,M2.5III,288,https://en.wikipedia.org/wiki/Sigma_Librae
113,26380,Bubup,F9.5V,124.3,https://en.wikipedia.org/wiki/HD_38283 
114,12191,Buna,G0,195.19,https://www.universeguide.com/star/12191/buna
115,106786,Bunda,A7V,179,https://en.wikipedia.org/wiki/Xi_Aquarii
116,30438,Canopus,A9II,310,https://pt.wikipedia.org/wiki/Canopus 
117,24608,Capella,K0III + G1III,42.91,https://pt.wikipedia.org/wiki/Capella_(estrela)
118,746,Caph,F2III-IV,54,https://pt.wikipedia.org/wiki/Beta_Cassiopeiae
119,36850,Castor,A1 V + A2 Vm,51,https://pt.wikipedia.org/wiki/Castor_(estrela)
120,4422,Castula,G8 IIIb Fe−0.5,189,https://en.wikipedia.org/wiki/Upsilon2_Cassiopeiae
121,86742,Cebalrai,K2III,82,https://pt.wikipedia.org/wiki/Beta_Ophiuchi
122,37284,Ceibo,K3V,122.83,https://en.wikipedia.org/wiki/HD_63454
123,17489,Celaeno,B7IV,https://en.wikipedia.org/wiki/Celaeno_(star)
124,86796,Cervantes,G3IV–V,50.06,https://pt.wikipedia.org/wiki/Mu_Arae
125,53721,Chalawan,G1V,45.9,https://pt.wikipedia.org/wiki/47_Ursae_Majoris
126,20894,Chamukuy,A7III,152,https://en.wikipedia.org/wiki/Theta_Tauri
128,61317,Chara,G0V,27,https://pt.wikipedia.org/wiki/Beta_Canum_Venaticorum
130,99894,Chechia,G8IV,235,https://en.wikipedia.org/wiki/HD_192699
131,54879,ChertanA2V,165,https://pt.wikipedia.org/wiki/Theta_Leonis
132,1547,Citadelle,K0,519,http://www.openexoplanetcatalogue.com/planet/HD%201502%20b/
133,33719,Citala,G0V,97.9,https://en.wikipedia.org/wiki/HD_52265 
134,3479,Cocibolca,G7V Fe-1 CH-0.5,111.6,https://en.wikipedia.org/wiki/HD_4208
135,43587,Copernicus,G8V,40.9,https://www.universeguide.com/star/43587/copernicus
