index,HIP,common name,spectral type,measured distance_ly,source
324,88414,Pincoya,K2,123.88,https://www.universeguide.com/star/88414/pincoya
325,82545,Pipirima,Subgiant Star B2IV,516.90,https://www.universeguide.com/star/82545/mu2scorpii
327,17851,Pleione,Variable Star B7p,387.37,https://www.universeguide.com/star/17851/pleione
328,116084,Poerav,Main Sequence F7V,172.48,https://www.universeguide.com/star/116084/poerava
329,11767,Polaris,Luminous Giant Star F7:Ib-IIv SB,431.43,https://www.universeguide.com/star/11767/polaris
330,104382,Polaris Australis,Giant Star F0III,270.23,https://www.universeguide.com/star/104382/polarisaustralis
331,89341,Polis,Giant Star B2III,29651.21,https://www.universeguide.com/star/89341/polis
332,37826,Pollux,Giant Star K0IIIvar,33.72,https://www.universeguide.com/star/37826/pollux
333,61941,Porrima,Main Sequence F1V,38.59,https://www.universeguide.com/star/61941/porrima
334,53229,Praecipua,Subgiant Star K0III-IV,97.65,https://www.universeguide.com/star/53229/praecipua 
335,20205,Prima Hyadum,Giant Star G8III,154.07,https://www.universeguide.com/star/20205/hyadumi
336,37279,Procyon,Spectroscopic Binary F5IV-V,11.41,https://www.universeguide.com/star/37279/procyon
337,29655,Propus,Red Giant Branch Star M3III,349.21,https://www.universeguide.com/star/29655/tejatprior
338,70890,Proxima Centauri,Main Sequence M5Ve,4.22,https://www.universeguide.com/star/70890/proximacentauri
339,16537,Ran,Main Sequence K2V,10.50,https://www.universeguide.com/star/16537/sadira
340,17378,Rana,Subgiant Star K0IV,29.5,https://www.universeguide.com/star/17378/rana
341,83547,Rapeto,Subgiant Star G2IV-V,169.17,https://www.universeguide.com/star/83547/hd153950
342,48455,Rasalas,Giant Star K0III,133.02,https://www.universeguide.com/star/48455/rasalas
343,84345,Rasalgethi,Luminous Giant Star M5IIvar,382.37,https://www.universeguide.com/star/84345/rasalgethi
344,86032,Rasalhague,Giant Star A5III,46.70,https://www.universeguide.com/star/86032/rasalhague
345,85670,Rastaban,Luminous Giant Star G2II,361.60,https://www.universeguide.com/star/85670/rastaban
346,49669,Regulus,Main Sequence B7V,77.49,https://www.universeguide.com/star/49669/regulus 
347,5737,Revati,Subgiant Star A7IV,147.65,https://www.universeguide.com/star/5737/zetapiscium
348,24436,Rigel,Supergiant Star B8Ia,772.90,https://www.universeguide.com/star/24436/rigel
349,71683,Rigil Kentaurus,Spectroscopic Binary G2V,4.40,https://www.universeguide.com/star/71683/rigilkentaurus
350,81022,Rosaliadecastro,Main Sequence G3V,207.09,https://www.universeguide.com/star/81022/hd149143
351,101769,Rotanev,Spectroscopic Binary F5IV,97.39,https://www.universeguide.com/star/101769/rotanev 
352,6686,Ruchbah,Main Sequence A5Vv SB,99.41,https://www.universeguide.com/star/6686/ruchbah
353,95347,Rukbat,Main Sequence B8V,169.88,https://www.universeguide.com/star/95347/alrami
354,84012,Sabik,Main Sequence A2.5Va,84.13,https://www.universeguide.com/star/84012/sabik 
355,23453,Saclateni,Luminous Giant Star K4II comp,787.83,https://www.universeguide.com/star/23453/saclateni
356,110395,Sadachbia,Subgiant Star B9.5 III-IV,157.80,https://www.universeguide.com/star/110395/sadachbia
357,112748,Sadalbari,Giant Star M2III,116.70,https://www.universeguide.com/star/112748/sadalbari
358,109074,Sadalmelik,Supergiant Star G2 Ib,758.52,https://www.universeguide.com/star/109074/sadalmelik
359,106278,Sadalsuud,Supergiant Star G0 Ib,611.94,https://www.universeguide.com/star/106278/sadalsuud
360,100453,Sadr,Supergiant Star F8Ib,1524.13,https://www.universeguide.com/star/100453/sadr 
361,56572,Sagarmatha,Main Sequence G8V,172.21,https://www.universeguide.com/star/56572/hd100777
362,27366,Saiph,Supergiant Star B0.5 Ia,721.60,https://www.universeguide.com/star/27366/saiph 
363,115250,Salm,Main Sequence A5V,167.26,https://www.universeguide.com/star/115250/salm
364,106824,Samaya,Main Sequence F7V,294.64,https://www.universeguide.com/star/106824/hd205739
366,86228,Sargas,Luminous Giant Star F1II,272.03,https://www.universeguide.com/star/86228/sargas
367,84379,Sarin,Spectroscopic Binary A3IVv SB,78.50,https://www.universeguide.com/star/84379/sarin 
368,21594,Sceptrum,Giant Star K1III,109.30,https://www.universeguide.com/star/21594/sceptrum
369,113881,Scheat,Giant Star M2II-IIIvar,199.24,https://www.universeguide.com/star/113881/scheat 
370,3179,Schedar,Giant Star K0II-IIIvar,228.57,https://www.universeguide.com/star/3179/schedar
371,20455,Secunda Hyadum,Giant Star G8III,153.20,https://www.universeguide.com/star/20455/hyadumii
372,8886,Segin,Be star B2pvar,441.96,https://www.universeguide.com/star/8886/segin
373,71075,Seginus,Giant Star A7IIIvar,85.18,https://www.universeguide.com/star/71075/seginus
374,96757,Sham,Luminous Giant Star G0II,https://www.universeguide.com/star/96757/sham
375,55664,Shama,Subgiant Star G8/K0 IV,197.20,https://www.universeguide.com/star/55664/shama 
376,79431,Sharjah,M3V,46.96,https://en.wikipedia.org/wiki/HIP_79431
377,85927,Shaula,Subgiant Star B1.5IV+...,702.94,https://www.universeguide.com/star/85927/shaula
378,92420,Sheliak,Main Sequence A8:V comp SB,881.52,https://www.universeguide.com/star/92420/sheliak
379,8903,Sheratan,Spectroscopic Binary A5V...,59.58,https://www.universeguide.com/star/8903/sheratan 
380,95262,Sika,Main Sequence G1V,182.42,https://www.universeguide.com/star/95262/sika
381,32349,Sirius,Spectroscopic Binary A0m...,8.60,https://www.universeguide.com/star/32349/sirius
382,111710,Situla,Giant Star K1III,234.31,https://www.universeguide.com/star/111710/situla
383,113136,Skat,Main Sequence A3V,159.57,https://www.universeguide.com/star/113136/skat 
384,104780,Solaris,K5,163.16,https://www.universeguide.com/star/104780/hip104780 
385,65474,Spica,Main Sequence B1V,262.19,https://www.universeguide.com/star/65474/spica
387,43674,Stribor,G0,262.82,https://www.universeguide.com/star/43674/stribor
388,101958,Sualocin,Main Sequence B9V,240.71,https://www.universeguide.com/star/101958/sualocin
389,47508,Subra,Spectroscopic Binary A5V+...,135.23,https://www.universeguide.com/star/47508/subra
390,44816,Suhail,Luminous Giant Star K4Ib-II,573.22,https://www.universeguide.com/star/44816/alsuhail 
391,93194,Sulafat,Giant Star B9III,634.56,https://www.universeguide.com/star/93194/sulafat
392,69701,Syrma,Giant Star F6III,69.78,https://www.universeguide.com/star/69701/syrma 
393,22449,Tabit,Main Sequence F6V,26.18,https://www.universeguide.com/star/22449/tabit
395,57399,Taiyangshou,Giant Star K0III,196.01,https://www.universeguide.com/star/57399/taiyangshou 
396,63076,Taiyi,Variable Star A5n,94.08,https://www.universeguide.com/star/63076/8draconis
397,44127,Talitha,Subgiant Star A7IV,47.74,https://www.universeguide.com/star/44127/talitha 
399,50801,Tania Australis,Giant Star M0III SB,248.79,https://www.universeguide.com/star/50801/taniaaustralis
400,50372,Tania Borealis,Subgiant Star A2IV,134.39,https://www.universeguide.com/star/50372/taniaborealis
401,38041,Tapecue,Subgiant Star G6IV/V,106.38,https://www.universeguide.com/star/38041/tapecue
402,97278,Tarazed,Luminous Giant Star K3II,460.68,https://www.universeguide.com/star/97278/tarazed
403,40526,Tarf,Giant Star K4III,290.44,https://www.universeguide.com/star/40526/altarf
404,17531,Taygeta,Main Sequence B6V,372.76,https://www.universeguide.com/star/17531/taygeta 
405,40167,Tegmine,Main Sequence G0V,83.40,https://www.universeguide.com/star/40167/tegmen 
406,30343,Tejat,Giant Star M3IIIvar,231.81,https://www.universeguide.com/star/30343/tejat
407,98066,Terebellum,Spectroscopic Binary G3/G5III,77.60,https://www.universeguide.com/star/98066/terebellum
409,21393,Theemin,Giant Star G8III,208.81,https://www.universeguide.com/star/21393/theemin
410,68756,Thuban,Spectroscopic Binary A0III SB,308.87,https://www.universeguide.com/star/68756/thuban 
411,112122,Tiaki,Giant Star M5III,170.14,https://www.universeguide.com/star/112122/betagruis
412,26451,Tianguan,Giant Star B4IIIp,417.09,https://www.universeguide.com/star/26451/tienkwan
413,62423,Tianyi,Giant Star K5III,778.43,https://www.universeguide.com/star/62423/7draconis
414,80687,Timir,Subgiant Star K0III/IV,193.34,https://www.universeguide.com/star/80687/timir 
416,7513,Titawin,Main Sequence F8V,43.93,https://www.universeguide.com/star/7513/titawin
418,71681,Toliman,Main Sequence K1V,4.40,https://www.universeguide.com/star/71681/alphacentaurib
419,58952,Tonatiuh,Giant Star G9III,332.82,https://www.universeguide.com/star/58952/tonatiuh
420,8198,Torcular,Giant Star K0III,258.24,https://www.universeguide.com/star/8198/torcularisseptentrionalis
422,60644,Tupa,Main Sequence F8/G0V,125.79,https://www.universeguide.com/star/60644/hd108147 
423,17096,Tupi,Main Sequence F8/G0V,112.86,https://www.universeguide.com/star/17096/tupi
424,39757,Tureis,Luminous Giant Star F2mF5IIp,62.74,https://www.universeguide.com/star/39757/tureis
425,47431,Ukdah,Giant StarK2III,275.71,https://www.universeguide.com/star/47431/iotahydrae 
426,57291,Uklun,Main Sequence G6V,136.99,https://www.universeguide.com/star/57291/hd102117
427,77070,Unukalhai,Giant Star K2III,73.23,https://www.universeguide.com/star/77070/unukalhai
428,96078,Uruk,Main Sequence F8V,https://www.universeguide.com/star/96078/hd231701
429,91262,Vega,Main Sequence A0Vvar,25.30,https://www.universeguide.com/star/91262/vega
430,116076,Veritate,Giant Star K0III,249.17,https://www.universeguide.com/star/116076/veritate 
431,63608,Vindemiatrix,Giant Star G8IIIvar,102.25,https://www.universeguide.com/star/63608/vindemiatrix
432,35550,Wasat,Spectroscopic Binary F0IV...,58.82,https://www.universeguide.com/star/35550/wasat
433,27628,Wazn,Giant Star K1.5III,85.97,https://www.universeguide.com/star/27628/wezn
434,34444,Wezen,Supergiant Star F8Ia,1792.11,https://www.universeguide.com/star/34444/wezen
435,5348,Wurren,Main Sequence B6V + B0V,279.73,https://www.universeguide.com/star/5348/zetaphoenicis 
436,82514,Xamidimura,Subgiant Star B1.5IV + B,821.57,https://www.universeguide.com/star/82514/muscorpii
437,91852,Xihe,G8,440.17,https://www.universeguide.com/star/91852/xihe 
438,69732,Xuange,A0sh,97.13,https://www.universeguide.com/star/69732/lambdabootis
439,79882,Yed Posterior,Giant Star G9.5 IIIb,107.50,https://www.universeguide.com/star/79882/yedposterior 
440,79593,Yed Prior,Giant Star M1 III,170.23,https://www.universeguide.com/star/79593/yedprior
441,85822,Yildun,Main Sequence A1Vn,182.72,https://www.universeguide.com/star/85822/yildun
442,60129,Zaniah,Spectroscopic Binary A2IV,249.74,https://www.universeguide.com/star/60129/zaniah 
443,18543,Zaurak,Giant Star M1IIIb Ca-1,221.13,https://www.universeguide.com/star/18543/zaurak
444,57757,Zavijava,Main Sequence F9V,35.55,https://www.universeguide.com/star/57757/alaraph
445,48356,Zhang,Giant Star G6/G8III,273.63,https://www.universeguide.com/star/48356/upsilon1hydrae
446,15197,Zibal,Spectroscopic Binary A2III,120.00,https://www.universeguide.com/star/15197/zibal 
447,54872,Zosma,Main Sequence A4V,57.71,https://www.universeguide.com/star/54872/zosma
448,72622,Zubenelgenubi,Spectroscopic Binary A3IV,77.20,https://www.universeguide.com/star/72622/zubenelgenubib 
449,76333,Zubenelhakrabi,Giant Star K0III,163.16,https://www.universeguide.com/star/76333/zubenelakrab
450,74785,Zubeneschamali,Giant Star B8 IIIn,160.04,https://www.universeguide.com/star/74785/zubeneschamali
